UNIT,STATION,REMOTE, STATION,Station ID
R442,SHEPHERD AV,R442,SHEPHERD AVE-PITKIN AVE       ,187
R200,EUCLID AV,R200,EUCLID AVE-PITKIN AVE         ,188
R382,GRANT AV,R382,GRANT AVENUE-PITKIN AVENUE    ,189
R383,80 ST,R383,HUDSON STREET-78TH STREET     ,190
R384,88 ST,R384,BOYD STREET-88TH STREET       ,191
R385,ROCKAWAY BLVD,R385,ROCKAWAY BLVD-LIBERTY AVE     ,192
R354,104 ST,R354,104TH STREET-LIBERTY AVENUE   ,193
R355,111 ST,R355,109TH STREET-LIBERTY AVENUE   ,194
R356,OZONE PK LEFFRT,R356,LEFFERTS BLVD-LIBERTY AVE     ,195
R464,AQUEDUCT RACETR,R464,AQUEDUCT RACE TRACK           ,196
R357,AQUEDUCT N.COND,R357,NORTH CONDUIT AVE-COHANCEY    ,197
R535,HOWARD BCH JFK,R535,AIRTRAIN @ HOWARD BEACH       ,198
R414,HOWARD BCH JFK,R414,HOWARD BEACH-159TH AVE        ,198
R415,BROAD CHANNEL,R415,BROAD CHANNEL-NOEL ROAD       ,199
R416,BEACH 90 ST,R416,HOLLAND-BEACH 90TH STREET     ,200
R417,BEACH 98 ST,R417,PLAYLAND-BEACH 98TH STREET    ,201
R418,BEACH 105 ST,R418,SEASIDE BEACH-105TH STREET    ,202
R419,ROCKAWAY PARK B,R419,ROCKAWAY PARK-BEACH 116TH     ,203
R335,BEACH 67 ST,R335,GASTON AVENUE-BEACH 67TH ST   ,204
R336,BEACH 60 ST,R336,STRAITON AVE-BEACH 60TH ST    ,205
R337,BEACH 44 ST,R337,FRANK AVENUE-BEACH 44TH ST    ,206
R338,BEACH 36 ST,R338,EDGEMERE-BEACH 36TH STREET    ,207
R358,BEACH 25 ST,R358,BEACH 25TH STREET-WAVECREST   ,208
R285,FAR ROCKAWAY,R285,MOTT AVENUE-BEACH 22ND ST     ,209
R157,NORWOOD 205 ST,R157,205TH ST-BAINBRIDGE AVE       ,210
R156,BEDFORD PK BLVD,R156,BEDFORD PARK BLVD-203RD ST    ,211
R155,KINGSBRIDGE RD,R155,KINGSBRIDGE RD-196TH ST       ,212
R112,FORDHAM RD,R112,FORDHAM RD/GRAND CONCOURSE    ,213
R237,182-183 STS,R237,182ND STREET-183RD STREET     ,214
R154,TREMONT AV,R154,TREMONT AVE-179TH ST          ,215
R253,174-175 STS,R253,174TH-175TH ST-GRAND CONCOU   ,216
R443,170 ST,R443,170TH STREET-GRAND CONC.      ,217
R104,167 ST,R104,167TH ST-GRAND CONCOURSE      ,218
R195,161/YANKEE STAD,R195,161ST STREET-YANKEE STADIUM   ,219
R331,155 ST,R331,155TH STREET-ST NICHOLAS AV   ,220
R303,21 ST-QNSBRIDGE,R303,21ST STREET-QUEENSBRIDGE      ,221
R259,ROOSEVELT ISLND,R259,ROOSEVELT ISLAND              ,222
R319,LEXINGTON AV/63,R319,63RD STREET-LEXINGTON AVE     ,223
R302,57 ST,R302,57TH STREET-6TH AVENUE        ,224
R020,47-50 STS ROCK,R020,47-50 STREETS/ROCKEFELLER     ,225
R021,42 ST-BRYANT PK,R021,42ND STREET & 6TH AVENUE      ,226
R293,34 ST-PENN STA,R293,34TH STREET - PENN STATION    ,227
R453,23 ST,R453,23RD STREET-6TH AVENUE        ,228
R203,23 ST,R203,23RD STREET-6TH AVENUE        ,228
R163,14 ST,R163,14TH STREET-6TH AVENUE        ,229
R461,B'WAY-LAFAYETTE,R461,BROADWAY LAFAYETTE-BLEECKER   ,230
R240,GRAND ST,R240,GRAND ST-CHRISTIE ST          ,231
R300,2 AV,R300,2ND AVENUE-HOUSTON STREET     ,232
R257,EAST BROADWAY,R257,EAST BROADWAY-MADISON ST      ,234
R301,YORK ST,R301,YORK STREET-JAY STREET        ,235
R129,BERGEN ST,R129,BERGEN STREET-SMITH STREET    ,236
R220,CARROLL ST,R220,CARROLL ST-PRESIDENT ST       ,237
R270,SMITH-9 ST,R270,SMITH STREET-9TH STREET       ,238
R258,4AV-9 ST,R258,4TH AVENUE-9TH STREET         ,239
R258,4 AV-9 ST,R258,4TH AVENUE-9TH STREET         ,239
R288,7 AV,R288,7TH AVENUE-9TH STREET         ,240
R241,15 ST-PROSPECT,R241,15TH ST-PROSPECT PARK WEST    ,241
R289,FT HAMILTON PKY,R289,FT HAMILTON PKY-GREENWOOD     ,242
R204,CHURCH AV,R204,CHURCH AVE-MCDONALD AVE       ,243
R420,DITMAS AV,R420,DITMAS AVE-MCDONALD AVE       ,244
R242,18 AV,R242,18TH AVE-MCDONALD AVE         ,245
R421,AVENUE I,R421,AVENUE I-MCDONALD AVENUE      ,246
R422,BAY PKWY,R422,MCDONALD AVE-22ND AVE         ,247
R423,AVENUE N,R423,AVENUE N-MCDONALD AVENUE      ,248
R424,AVENUE P,R424,AVENUE P-MCDONALD AVENUE      ,249
R130,KINGS HWY,R130,KINGS HIGHWAY-MCDONALD AVE    ,250
R425,AVENUE U,R425,AVENUE U-MCDONALD AVENUE      ,251
R271,AVENUE X,R271,AVENUE X-MCDONALD AVENUE      ,252
R426,NEPTUNE AV,R426,NEPTUNE AVE-MCDONALD AVENUE   ,253
R019,JAMAICA 179 ST,R019,179TH STREET & HILLSIDE AVE   ,254
R115,169 ST,R115,169TH STREET & HILLSIDE AVE   ,255
R114,PARSONS BLVD,R114,PARSONS BLVD & HILLSIDE AV    ,256
R128,SUTPHIN BLVD,R128,SUTPHIN BLVD-HILLSIDE AVE     ,257
R255,BRIARWOOD,R255,VAN WYCK BLVD-MAIN STREET     ,258
R158,KEW GARDENS,R158,UNION TURNPIKE-KEW GARDENS    ,259
R341,75 AV,R341,75TH AVENUE-QUEENS BLVD       ,260
R141,FOREST HILLS 71,R141,71ST AVE-CONTINENTAL AVE      ,261
R219,67 AV,R219,67TH AVENUE-QUEENS BLVD       ,262
R202,63 DR-REGO PARK,R202,63RD DRIVE-REGO PARK          ,263
R201,WOODHAVEN BLVD,R201,WOODHAVEN BLVD-QUEENS BLVD    ,264
R254,GRAND-NEWTOWN,R254,GRAND AVE-QUEENS BOULEVARD    ,265
R218,ELMHURST AV,R218,ELMHURST AVE-BROADWAY         ,266
R018,JKSN HT-ROOSVLT,R018,ROOSEVELT AVE/JACKSON HTS     ,267
R340,65 ST,R340,65TH STREET-BROADWAY          ,268
